X,Y,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate,OBJECTID
-93.2289027443102,45.003592999641,22-0004019,"Special outside fire, Other                       ",2022/01/26 00:00:00+00,21:59:59,15 ,1520    ,New Brighton             ,BLVD,  ,                                        ,               ,  ,                         ,    ,  ,45.003585,-93.228895,160 ,2022/01/26 00:00:00+00,22:26:18,1,1,2022/01/27 18:30:38+00,2022/01/26 21:59:59+00,2022/01/26 22:26:18+00,17
-93.2628347497376,44.9727209927824,22-0004024,Building fire                                     ,2022/01/26 00:00:00+00,22:27:09,01 ,714     ,PARK                     ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.972713,-93.262827,111 ,2022/01/27 00:00:00+00,01:57:05,1,1,2022/01/27 18:30:38+00,2022/01/26 22:27:09+00,2022/01/27 01:57:05+00,18
-93.2333087436832,44.9899459973463,22-0000106,Building fire                                     ,2022/01/01 00:00:00+00,11:08:45,11 ,1070    ,13                       ,AVE ,SE,                                        ,               ,  ,                         ,    ,  ,44.989938,-93.233301,111 ,2022/01/01 00:00:00+00,15:35:22,1,1,2022/01/06 18:30:41+00,2022/01/01 11:08:45+00,2022/01/01 15:35:22+00,19
-93.2333087436832,44.9899459973463,22-0000106,Building fire                                     ,2022/01/01 00:00:00+00,11:08:45,11 ,1070    ,13                       ,AVE ,SE,                                        ,               ,  ,                         ,    ,  ,44.989938,-93.233301,111 ,2022/01/01 00:00:00+00,15:35:22,1,1,2022/01/06 18:30:41+00,2022/01/01 11:08:45+00,2022/01/01 15:35:22+00,20
-93.2333087436832,44.9899459973463,22-0000106,Building fire                                     ,2022/01/01 00:00:00+00,11:08:45,11 ,1070    ,13                       ,AVE ,SE,                                        ,               ,  ,                         ,    ,  ,44.989938,-93.233301,111 ,2022/01/01 00:00:00+00,15:35:22,1,1,2022/01/06 18:30:41+00,2022/01/01 11:08:45+00,2022/01/01 15:35:22+00,21
-93.2385397394417,44.9483719909212,22-0000759,"Outside rubbish, trash or waste fire              ",2022/01/05 00:00:00+00,10:45:41,05 ,2310    ,Lake                     ,ST  ,E ,                                        ,               ,  ,                         ,    ,  ,44.948364,-93.238532,151 ,2022/01/05 00:00:00+00,10:56:34,1,1,2022/01/06 18:30:41+00,2022/01/05 10:45:41+00,2022/01/05 10:56:34+00,22
-93.278985754369,44.9728649916796,22-0000820,"Cooking fire, confined to container               ",2022/01/05 00:00:00+00,18:08:29,06 ,1212    ,Yale                     ,PL  ,  ,                                        ,               ,  ,                         ,    ,  ,44.972857,-93.278978,113 ,2022/01/05 00:00:00+00,18:25:34,1,1,2022/01/06 18:30:41+00,2022/01/05 18:08:29+00,2022/01/05 18:25:34+00,23
-93.2820567571153,44.9863939934364,22-0003162,Fires in structure other than in a building       ,2022/01/21 00:00:00+00,03:15:32,04 ,813     ,5                        ,ST  ,N ,                                        ,               ,  ,                         ,    ,  ,44.986386,-93.282049,112 ,2022/01/21 00:00:00+00,04:27:56,1,1,2022/01/25 18:30:43+00,2022/01/21 03:15:32+00,2022/01/21 04:27:56+00,24
-93.2599287487624,44.9716679928311,22-0003703,Building fire                                     ,2022/01/24 00:00:00+00,18:34:25,01 ,906     ,7                        ,ST  ,S ,                                        ,313            ,  ,                         ,    ,  ,44.97166,-93.259921,111 ,2022/01/24 00:00:00+00,19:43:31,1,1,2022/01/26 18:30:41+00,2022/01/24 18:34:25+00,2022/01/24 19:43:31+00,25
-93.2274787350002,44.9390569903302,22-0013038,Building fire                                     ,2022/04/01 00:00:00+00,16:14:37,21 ,3520    ,MINNEHAHA                ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.939049,-93.227471,111 ,2022/04/01 00:00:00+00,18:13:49,1,1,2022/04/08 18:30:40+00,2022/04/01 16:14:37+00,2022/04/01 18:13:49+00,26
-93.2763967549236,44.982229993224,22-0013150,Brush or brush-and-grass mixture fire             ,2022/04/02 00:00:00+00,14:25:11,04 ,335     ,5                        ,ST  ,N ,                                        ,               ,  ,                         ,    ,  ,44.982222,-93.276389,142 ,2022/04/02 00:00:00+00,14:45:02,1,1,2022/04/04 18:30:35+00,2022/04/02 14:25:11+00,2022/04/02 14:45:02+00,27
-93.2880167595839,44.991939993829,22-0013170,Grass fire                                        ,2022/04/02 00:00:00+00,18:02:09,04 ,701     ,PLYMOUTH                 ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.991932,-93.288009,143 ,2022/04/02 00:00:00+00,18:11:52,1,1,2022/04/04 18:30:35+00,2022/04/02 18:02:09+00,2022/04/02 18:11:52+00,28
-93.3087337545169,44.9123709807907,22-0013195,Building fire                                     ,2022/04/02 00:00:00+00,21:29:24,28 ,2302    ,50                       ,ST  ,W ,                                        ,               ,  ,                         ,    ,  ,44.912363,-93.308726,111 ,2022/04/02 00:00:00+00,23:29:01,1,1,2022/04/04 18:30:35+00,2022/04/02 21:29:24+00,2022/04/02 23:29:01+00,29
-93.29065675432,44.9483729872983,22-0013315,Passenger vehicle fire                            ,2022/04/03 00:00:00+00,19:33:11,08 ,        ,Bryant                   ,AVE ,S ,                                        ,               ,W ,Lake                     ,ST  ,  ,44.948365,-93.290649,131 ,2022/04/03 00:00:00+00,20:29:48,1,1,2022/04/04 18:30:35+00,2022/04/03 19:33:11+00,2022/04/03 20:29:48+00,30
-93.2802317586823,45.0014909957615,22-0003258,"Chimney or flue fire, confined to chimney or flue ",2022/01/21 00:00:00+00,18:32:36,04 ,202     ,22                       ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.001483,-93.280224,114 ,2022/01/21 00:00:00+00,19:12:25,1,1,2022/01/23 18:30:45+00,2022/01/21 18:32:36+00,2022/01/21 19:12:25+00,31
-93.234900742987,44.9816119960211,22-0003272,Building fire                                     ,2022/01/21 00:00:00+00,20:21:26,19 ,514     ,14                       ,AVE ,SE,                                        ,               ,  ,                         ,    ,  ,44.981604,-93.234893,111 ,2022/01/21 00:00:00+00,20:44:22,1,1,2022/01/23 18:30:45+00,2022/01/21 20:21:26+00,2022/01/21 20:44:22+00,32
-93.2715567484008,44.9449809881319,22-0003299,Passenger vehicle fire                            ,2022/01/22 00:00:00+00,00:17:46,17 ,        ,Clinton                  ,AVE ,  ,                                        ,               ,E ,32                       ,ST  ,  ,44.944973,-93.271549,131 ,2022/01/22 00:00:00+00,00:47:47,1,1,2022/01/23 18:30:45+00,2022/01/22 00:17:46+00,2022/01/22 00:47:47+00,33
-93.2843677507122,44.9352219858179,22-0003345,"Chimney or flue fire, confined to chimney or flue ",2022/01/22 00:00:00+00,10:44:07,17 ,3737    ,Grand                    ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.935214,-93.28436,114 ,2022/01/22 00:00:00+00,11:01:14,1,1,2022/01/23 18:30:45+00,2022/01/22 10:44:07+00,2022/01/22 11:01:14+00,34
-93.2503437457937,44.9699909932533,22-0003364,"Cooking fire, confined to container               ",2022/01/22 00:00:00+00,14:01:14,07 ,515     ,15                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.969983,-93.250336,113 ,2022/01/22 00:00:00+00,15:33:24,1,1,2022/01/23 18:30:45+00,2022/01/22 14:01:14+00,2022/01/22 15:33:24+00,35
-93.2971517590055,44.9688889898361,22-0006145,"Outside rubbish, trash or waste fire              ",2022/02/10 00:00:00+00,22:34:23,06 ,747     ,Kenwood Pkwy             ,    ,  ,                                        ,               ,  ,                         ,    ,  ,44.968881,-93.297144,151 ,2022/02/10 00:00:00+00,22:50:33,1,1,2022/02/17 18:30:41+00,2022/02/10 22:34:23+00,2022/02/10 22:50:33+00,36
-93.2523947403706,44.9263909867511,22-0006839,Passenger vehicle fire                            ,2022/02/15 00:00:00+00,21:06:27,17 ,4230    ,Bloomington              ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.926383,-93.252387,131 ,2022/02/15 00:00:00+00,22:26:03,1,1,2022/04/08 18:30:40+00,2022/02/15 21:06:27+00,2022/02/15 22:26:03+00,37
-93.2663627461438,44.9393609876732,22-0006972,"Cooking fire, confined to container               ",2022/02/16 00:00:00+00,18:20:40,17 ,3512    ,Oakland                  ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.939353,-93.266355,113 ,2022/02/16 00:00:00+00,18:27:16,1,1,2022/02/17 18:30:41+00,2022/02/16 18:20:40+00,2022/02/16 18:27:16+00,38
-93.2924157492409,44.9078559812657,22-0011663,"Cooking fire, confined to container               ",2022/03/21 00:00:00+00,18:48:10,27 ,1023    ,Minnehaha Pkwy           ,    ,  ,                                        ,               ,  ,                         ,    ,  ,44.907848,-93.292408,113 ,2022/03/21 00:00:00+00,18:57:03,1,1,2022/03/23 18:30:41+00,2022/03/21 18:48:10+00,2022/03/21 18:57:03+00,39
-93.2323137372977,44.945714990966,22-0011675,"Cooking fire, confined to container               ",2022/03/21 00:00:00+00,20:52:07,21 ,3136    ,Minnehaha                ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.945707,-93.232306,113 ,2022/03/21 00:00:00+00,22:33:12,1,1,2022/03/23 18:30:41+00,2022/03/21 20:52:07+00,2022/03/21 22:33:12+00,40
-93.3031497618515,44.9770959906138,22-0011679,"Outside rubbish, trash or waste fire              ",2022/03/21 00:00:00+00,22:07:18,16 ,        ,CEDAR LAKE               ,RD  ,N ,                                        ,               ,W ,CHESTNUT                 ,AVE ,  ,44.977088,-93.303142,151 ,2022/03/21 00:00:00+00,22:51:12,1,1,2022/03/23 18:30:41+00,2022/03/21 22:07:18+00,2022/03/21 22:51:12+00,41
-93.2983367560085,44.9447249862322,22-0011686,Dumpster or other outside trash receptacle fire   ,2022/03/22 00:00:00+00,00:08:06,22 ,1420    ,32                       ,ST  ,W ,                                        ,               ,  ,                         ,    ,  ,44.944717,-93.298329,154 ,2022/03/22 00:00:00+00,00:47:05,1,1,2022/03/23 18:30:41+00,2022/03/22 00:08:06+00,2022/03/22 00:47:05+00,42
-93.2765567517872,44.9591859898552,22-0011755,"Cooking fire, confined to container               ",2022/03/22 00:00:00+00,14:31:23,08 ,2401    ,1                        ,AVE ,S ,                                        ,B2             ,  ,                         ,    ,  ,44.959178,-93.276549,113 ,2022/03/22 00:00:00+00,14:49:32,1,1,2022/03/23 18:30:41+00,2022/03/22 14:31:23+00,2022/03/22 14:49:32+00,43
-93.2778197533266,44.9677269910121,22-0005041,"Trash or rubbish fire, contained                  ",2022/02/03 00:00:00+00,13:52:46,06 ,1500    ,Nicollet                 ,AVE ,  ,                                        ,609            ,  ,                         ,    ,  ,44.967719,-93.277812,118 ,2022/02/03 00:00:00+00,17:19:28,1,1,2022/02/15 18:30:40+00,2022/02/03 13:52:46+00,2022/02/03 17:19:28+00,44
-93.2753347508739,44.9550949893439,22-0006550,"Cooking fire, confined to container               ",2022/02/13 00:00:00+00,22:13:06,08 ,2625    ,Stevens                  ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.955087,-93.275327,113 ,2022/02/13 00:00:00+00,22:34:15,1,1,2022/02/15 18:30:40+00,2022/02/13 22:13:06+00,2022/02/13 22:34:15+00,45
